ds,n,nl,clf,KFolds,TRE_mean,TRE_std,TESTE_mean,TESTE_std,E_DIFF,Regularization
Moon,10,0.0,svm,5,0.675,0.09999999999999999,0.5,0.0,-0.17500000000000004,0.001
Moon,10,0.0,svm,5,0.675,0.09999999999999999,0.5,0.0,-0.17500000000000004,0.005
Moon,10,0.0,svm,5,0.675,0.09999999999999999,0.5,0.0,-0.17500000000000004,0.01
Moon,10,0.0,svm,5,0.75,0.15811388300841897,0.5,0.0,-0.25,0.1
Moon,10,0.0,svm,5,0.85,0.1224744871391589,0.8,0.2449489742783178,-0.04999999999999993,0.5
Moon,10,0.0,svm,5,0.975,0.049999999999999996,0.8,0.2449489742783178,-0.17499999999999993,1.0
Moon,10,0.0,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,5.0
Moon,10,0.0,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,10.0
Moon,10,0.0,svm,5,1.0,0.0,0.6,0.2,-0.4,100.0
Moon,10,0.0,svm,5,1.0,0.0,0.6,0.2,-0.4,1000.0
Moon,10,0.1,svm,5,0.65,0.049999999999999996,0.5,0.0,-0.15000000000000002,0.001
Moon,10,0.1,svm,5,0.65,0.049999999999999996,0.5,0.0,-0.15000000000000002,0.005
Moon,10,0.1,svm,5,0.65,0.049999999999999996,0.5,0.0,-0.15000000000000002,0.01
Moon,10,0.1,svm,5,0.75,0.11180339887498948,0.5,0.0,-0.25,0.1
Moon,10,0.1,svm,5,0.775,0.1457737973711325,0.5,0.0,-0.275,0.5
Moon,10,0.1,svm,5,0.9,0.049999999999999996,0.7,0.2449489742783178,-0.20000000000000007,1.0
Moon,10,0.1,svm,5,1.0,0.0,0.9,0.20000000000000004,-0.09999999999999998,5.0
Moon,10,0.1,svm,5,1.0,0.0,1.0,0.0,0.0,10.0
Moon,10,0.1,svm,5,1.0,0.0,0.4,0.20000000000000004,-0.6,100.0
Moon,10,0.1,svm,5,1.0,0.0,0.4,0.20000000000000004,-0.6,1000.0
Moon,10,0.2,svm,5,0.8,0.06123724356957946,0.8,0.2449489742783178,0.0,0.001
Moon,10,0.2,svm,5,0.8,0.06123724356957946,0.8,0.2449489742783178,0.0,0.005
Moon,10,0.2,svm,5,0.8,0.06123724356957946,0.8,0.2449489742783178,0.0,0.01
Moon,10,0.2,svm,5,0.825,0.06123724356957946,0.8,0.2449489742783178,-0.02499999999999991,0.1
Moon,10,0.2,svm,5,0.95,0.06123724356957946,0.7,0.2449489742783178,-0.25,0.5
Moon,10,0.2,svm,5,1.0,0.0,0.7,0.2449489742783178,-0.30000000000000004,1.0
Moon,10,0.2,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,5.0
Moon,10,0.2,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,10.0
Moon,10,0.2,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,100.0
Moon,10,0.2,svm,5,1.0,0.0,0.8,0.2449489742783178,-0.19999999999999996,1000.0
Moon,10,0.3,svm,5,0.675,0.09999999999999999,0.6,0.20000000000000004,-0.07500000000000007,0.001
Moon,10,0.3,svm,5,0.675,0.09999999999999999,0.6,0.20000000000000004,-0.07500000000000007,0.005
Moon,10,0.3,svm,5,0.675,0.09999999999999999,0.6,0.20000000000000004,-0.07500000000000007,0.01
Moon,10,0.3,svm,5,0.825,0.1274754878398196,0.6,0.20000000000000004,-0.22499999999999998,0.1
Moon,10,0.3,svm,5,0.925,0.06123724356957946,0.8,0.2449489742783178,-0.125,0.5
Moon,10,0.3,svm,5,0.925,0.06123724356957946,0.8,0.2449489742783178,-0.125,1.0
Moon,10,0.3,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,5.0
Moon,10,0.3,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,10.0
Moon,10,0.3,svm,5,1.0,0.0,0.4,0.20000000000000004,-0.6,100.0
Moon,10,0.3,svm,5,1.0,0.0,0.4,0.20000000000000004,-0.6,1000.0
Moon,10,0.4,svm,5,0.7,0.09999999999999999,0.7,0.4,0.0,0.001
Moon,10,0.4,svm,5,0.7,0.09999999999999999,0.7,0.4,0.0,0.005
Moon,10,0.4,svm,5,0.7,0.09999999999999999,0.7,0.4,0.0,0.01
Moon,10,0.4,svm,5,0.7,0.09999999999999999,0.7,0.4,0.0,0.1
Moon,10,0.4,svm,5,0.75,0.11180339887498948,0.6,0.37416573867739417,-0.15000000000000002,0.5
Moon,10,0.4,svm,5,0.775,0.09354143466934853,0.5,0.31622776601683794,-0.275,1.0
Moon,10,0.4,svm,5,0.975,0.049999999999999996,0.6,0.37416573867739417,-0.375,5.0
Moon,10,0.4,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,10.0
Moon,10,0.4,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,100.0
Moon,10,0.4,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,1000.0
Moon,10,0.5,svm,5,0.775,0.1457737973711325,0.5,0.31622776601683794,-0.275,0.001
Moon,10,0.5,svm,5,0.775,0.1457737973711325,0.5,0.31622776601683794,-0.275,0.005
Moon,10,0.5,svm,5,0.775,0.1457737973711325,0.5,0.31622776601683794,-0.275,0.01
Moon,10,0.5,svm,5,0.775,0.1457737973711325,0.5,0.31622776601683794,-0.275,0.1
Moon,10,0.5,svm,5,0.9,0.09354143466934853,0.6,0.37416573867739417,-0.30000000000000004,0.5
Moon,10,0.5,svm,5,0.95,0.09999999999999999,0.6,0.37416573867739417,-0.35,1.0
Moon,10,0.5,svm,5,1.0,0.0,0.7,0.4,-0.30000000000000004,5.0
Moon,10,0.5,svm,5,1.0,0.0,0.6,0.37416573867739417,-0.4,10.0
Moon,10,0.5,svm,5,1.0,0.0,0.6,0.37416573867739417,-0.4,100.0
Moon,10,0.5,svm,5,1.0,0.0,0.5,0.31622776601683794,-0.5,1000.0
Moon,50,0.0,svm,5,0.705,0.13638181696985854,0.64,0.25768197453450253,-0.06499999999999995,0.001
Moon,50,0.0,svm,5,0.705,0.13638181696985854,0.64,0.25768197453450253,-0.06499999999999995,0.005
Moon,50,0.0,svm,5,0.705,0.13638181696985854,0.64,0.25768197453450253,-0.06499999999999995,0.01
Moon,50,0.0,svm,5,0.875,0.02738612787525833,0.86,0.10198039027185571,-0.015000000000000013,0.1
Moon,50,0.0,svm,5,0.96,0.012247448713915901,0.9400000000000001,0.04898979485566355,-0.019999999999999907,0.5
Moon,50,0.0,svm,5,1.0,0.0,0.9800000000000001,0.039999999999999994,-0.019999999999999907,1.0
Moon,50,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,5.0
Moon,50,0.0,svm,5,1.0,0.0,0.96,0.07999999999999999,-0.040000000000000036,10.0
Moon,50,0.0,svm,5,1.0,0.0,0.8399999999999999,0.13564659966250536,-0.16000000000000014,100.0
Moon,50,0.0,svm,5,1.0,0.0,0.62,0.20396078054371142,-0.38,1000.0
Moon,50,0.1,svm,5,0.5599999999999999,0.012247448713915848,0.5599999999999999,0.04898979485566354,0.0,0.001
Moon,50,0.1,svm,5,0.5599999999999999,0.012247448713915848,0.5599999999999999,0.04898979485566354,0.0,0.005
Moon,50,0.1,svm,5,0.575,0.02738612787525829,0.5599999999999999,0.04898979485566354,-0.015000000000000013,0.01
Moon,50,0.1,svm,5,0.85,0.01581138830084191,0.82,0.07483314773547885,-0.030000000000000027,0.1
Moon,50,0.1,svm,5,0.9400000000000001,0.01999999999999997,0.9400000000000001,0.07999999999999999,0.0,0.5
Moon,50,0.1,svm,5,0.9800000000000001,0.010000000000000009,0.9800000000000001,0.03999999999999999,0.0,1.0
Moon,50,0.1,svm,5,0.9949999999999999,0.010000000000000009,0.9800000000000001,0.03999999999999999,-0.014999999999999791,5.0
Moon,50,0.1,svm,5,1.0,0.0,0.9800000000000001,0.03999999999999999,-0.019999999999999907,10.0
Moon,50,0.1,svm,5,1.0,0.0,0.7200000000000001,0.040000000000000036,-0.2799999999999999,100.0
Moon,50,0.1,svm,5,1.0,0.0,0.6,0.06324555320336757,-0.4,1000.0
Moon,50,0.2,svm,5,0.6299999999999999,0.11224972160321822,0.5800000000000001,0.18330302779823357,-0.04999999999999982,0.001
Moon,50,0.2,svm,5,0.6299999999999999,0.11224972160321822,0.5800000000000001,0.18330302779823357,-0.04999999999999982,0.005
Moon,50,0.2,svm,5,0.7350000000000001,0.1067707825203131,0.7,0.20976176963403032,-0.03500000000000014,0.01
Moon,50,0.2,svm,5,0.9,0.02738612787525829,0.8800000000000001,0.039999999999999994,-0.019999999999999907,0.1
Moon,50,0.2,svm,5,0.975,0.022360679774997918,0.96,0.04898979485566354,-0.015000000000000013,0.5
Moon,50,0.2,svm,5,1.0,0.0,1.0,0.0,0.0,1.0
Moon,50,0.2,svm,5,1.0,0.0,1.0,0.0,0.0,5.0
Moon,50,0.2,svm,5,1.0,0.0,0.9800000000000001,0.039999999999999994,-0.019999999999999907,10.0
Moon,50,0.2,svm,5,1.0,0.0,0.66,0.13564659966250536,-0.33999999999999997,100.0
Moon,50,0.2,svm,5,1.0,0.0,0.5,0.12649110640673514,-0.5,1000.0
Moon,50,0.3,svm,5,0.6249999999999999,0.08514693182963202,0.42000000000000004,0.2785677655436824,-0.20499999999999985,0.001
Moon,50,0.3,svm,5,0.6249999999999999,0.08514693182963202,0.42000000000000004,0.2785677655436824,-0.20499999999999985,0.005
Moon,50,0.3,svm,5,0.6299999999999999,0.09407443861113392,0.42000000000000004,0.2785677655436824,-0.20999999999999985,0.01
Moon,50,0.3,svm,5,0.875,0.047434164902525694,0.86,0.14966629547095767,-0.015000000000000013,0.1
Moon,50,0.3,svm,5,0.8949999999999999,0.029154759474226483,0.8800000000000001,0.14696938456699069,-0.014999999999999791,0.5
Moon,50,0.3,svm,5,0.9099999999999999,0.03391164991562633,0.9,0.10954451150103324,-0.009999999999999898,1.0
Moon,50,0.3,svm,5,0.9400000000000001,0.01999999999999997,0.8800000000000001,0.09797958971132716,-0.05999999999999994,5.0
Moon,50,0.3,svm,5,0.96,0.020000000000000018,0.8800000000000001,0.14696938456699069,-0.07999999999999985,10.0
Moon,50,0.3,svm,5,1.0,0.0,0.6199999999999999,0.14696938456699069,-0.3800000000000001,100.0
Moon,50,0.3,svm,5,1.0,0.0,0.45999999999999996,0.20591260281974003,-0.54,1000.0
Moon,50,0.4,svm,5,0.6050000000000001,0.1133578404875463,0.5599999999999999,0.16248076809271922,-0.04500000000000015,0.001
Moon,50,0.4,svm,5,0.6050000000000001,0.1133578404875463,0.5599999999999999,0.16248076809271922,-0.04500000000000015,0.005
Moon,50,0.4,svm,5,0.735,0.06819090848492927,0.6799999999999999,0.21354156504062627,-0.05500000000000005,0.01
Moon,50,0.4,svm,5,0.825,0.02738612787525829,0.78,0.11661903789690603,-0.04499999999999993,0.1
Moon,50,0.4,svm,5,0.8850000000000001,0.04636809247747852,0.8,0.14142135623730953,-0.08500000000000008,0.5
Moon,50,0.4,svm,5,0.885,0.046368092477478515,0.8400000000000001,0.1854723699099141,-0.04499999999999993,1.0
Moon,50,0.4,svm,5,0.9549999999999998,0.02449489742783178,0.8400000000000001,0.1854723699099141,-0.11499999999999977,5.0
Moon,50,0.4,svm,5,0.975,0.01581138830084191,0.7000000000000001,0.14142135623730953,-0.2749999999999999,10.0
Moon,50,0.4,svm,5,1.0,0.0,0.62,0.132664991614216,-0.38,100.0
Moon,50,0.4,svm,5,1.0,0.0,0.5399999999999999,0.13564659966250536,-0.4600000000000001,1000.0
Moon,50,0.5,svm,5,0.58,0.03316624790355399,0.58,0.132664991614216,0.0,0.001
Moon,50,0.5,svm,5,0.58,0.03316624790355399,0.58,0.132664991614216,0.0,0.005
Moon,50,0.5,svm,5,0.625,0.06519202405202651,0.62,0.17204650534085253,-0.0050000000000000044,0.01
Moon,50,0.5,svm,5,0.825,0.02236067977499787,0.8,0.0632455532033676,-0.02499999999999991,0.1
Moon,50,0.5,svm,5,0.8949999999999999,0.033166247903554,0.86,0.04898979485566354,-0.03499999999999992,0.5
Moon,50,0.5,svm,5,0.8949999999999999,0.029154759474226483,0.86,0.04898979485566354,-0.03499999999999992,1.0
Moon,50,0.5,svm,5,0.93,0.02915475947422648,0.78,0.040000000000000036,-0.15000000000000002,5.0
Moon,50,0.5,svm,5,0.9650000000000001,0.020000000000000018,0.7,0.0894427190999916,-0.2650000000000001,10.0
Moon,50,0.5,svm,5,1.0,0.0,0.58,0.0748331477354788,-0.42000000000000004,100.0
Moon,50,0.5,svm,5,1.0,0.0,0.58,0.132664991614216,-0.42000000000000004,1000.0
Moon,100,0.0,svm,5,0.525,0.007905694150420955,0.45999999999999996,0.058309518948453015,-0.06500000000000006,0.001
Moon,100,0.0,svm,5,0.5525,0.048989794855663564,0.47000000000000003,0.039999999999999994,-0.08249999999999996,0.005
Moon,100,0.0,svm,5,0.7625,0.04257346591481598,0.76,0.07999999999999999,-0.0024999999999999467,0.01
Moon,100,0.0,svm,5,0.8425,0.021794494717703398,0.8299999999999998,0.0871779788708135,-0.012500000000000178,0.1
Moon,100,0.0,svm,5,0.9775,0.014577379737113249,0.9700000000000001,0.039999999999999994,-0.007499999999999951,0.5
Moon,100,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,1.0
Moon,100,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,5.0
Moon,100,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,10.0
Moon,100,0.0,svm,5,1.0,0.0,0.99,0.020000000000000018,-0.010000000000000009,100.0
Moon,100,0.0,svm,5,1.0,0.0,0.9,0.04472135954999579,-0.09999999999999998,1000.0
Moon,100,0.1,svm,5,0.5825,0.11527141883398503,0.56,0.12409673645990858,-0.022499999999999964,0.001
Moon,100,0.1,svm,5,0.6449999999999999,0.10476163419878481,0.5700000000000001,0.12489995996796797,-0.07499999999999984,0.005
Moon,100,0.1,svm,5,0.8100000000000002,0.01658312395177701,0.8,0.0632455532033676,-0.01000000000000012,0.01
Moon,100,0.1,svm,5,0.8825000000000001,0.012747548783981946,0.8800000000000001,0.05099019513592783,-0.0024999999999999467,0.1
Moon,100,0.1,svm,5,0.9625,0.007905694150420955,0.96,0.020000000000000018,-0.0025000000000000577,0.5
Moon,100,0.1,svm,5,0.99,0.004999999999999982,0.99,0.020000000000000018,0.0,1.0
Moon,100,0.1,svm,5,1.0,0.0,0.99,0.020000000000000018,-0.010000000000000009,5.0
Moon,100,0.1,svm,5,1.0,0.0,0.99,0.020000000000000018,-0.010000000000000009,10.0
Moon,100,0.1,svm,5,1.0,0.0,0.9800000000000001,0.024494897427831803,-0.019999999999999907,100.0
